Performance data spans 21:31.822953 mm:ss  from 2021/03/31 21:43:14 to 2021/03/31 22:04:46

Exclusive  % of CPU  Function (defining location)
 CPU time      Time  
       in            
 seconds.            
 8.303000  0.642811  G4Mag_UsualEqRhs::EvaluateRhsGivenB(double const*, double const*, double*) const (cmsExp: G4Mag_UsualEqRhs.cc,49:1)
 8.207000  0.635379  G4SteppingManager::InvokePostStepDoItProcs() (cmsExp: G4SteppingManager2.cc,544:28)
 7.806000  0.604333  G4Navigator::LocateGlobalPointWithinVolume(CLHEP::Hep3Vector const&) (cmsExp: G4Navigator.cc,615:1)
 7.685000  0.594966  G4ElectroNuclearCrossSection::GetElementCrossSection(G4DynamicParticle const*, int, G4Material const*) (cmsExp: G4ElectroNuclearCrossSection.cc,2265:52)
 7.536000  0.583430  G4FieldTrack::LoadFromArray(double const*, int) (cmsExp: G4FieldTrack.cc,177:1)
 7.509000  0.581340  G4VEnergyLossProcess::AlongStepDoIt(G4Track const&, G4Step const&) (cmsExp: G4VEnergyLossProcess.cc,1180:1)
 7.284000  0.563921  G4VMultipleScattering::AlongStepDoIt(G4Track const&, G4Step const&) (cmsExp: G4VMultipleScattering.cc,391:1)
 7.259000  0.561985  HepGeom::operator*(HepGeom::Transform3D const&, HepGeom::Point3D<double> const&) (cmsExp: Point3D.cc,41:20)
 7.055000  0.546192  G4Trap::DistanceToOut(CLHEP::Hep3Vector const&) const (cmsExp: G4Trap.cc,1054:11)
 7.045000  0.545418  G4Navigator::ComputeSafety(CLHEP::Hep3Vector const&, double, bool) (cmsExp: ThreeVector.icc,58:64)
 6.957000  0.538605  G4VoxelNavigation::LocateNextVoxel(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const&, double) (cmsExp: G4VoxelNavigation.cc,495:1)
 6.628000  0.513134  __ieee754_atan2_avx (libm-2.17.so)
 6.572000  0.508798  G4StepPoint::operator=(G4StepPoint const&) (cmsExp: G4StepPoint.cc,62:1)
 6.532000  0.505702  G4Trap::Inside(CLHEP::Hep3Vector const&) const (cmsExp: G4Trap.cc,640:11)
 6.528000  0.505392  G4NavigationLevel::G4NavigationLevel(G4VPhysicalVolume*, G4AffineTransform const&, G4AffineTransform const&, EVolume, int) (cmsExp: G4NavigationLevel.cc,47:1)
 6.385000  0.494321  G4Trap::DistanceToIn(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const&) const (cmsExp: G4Trap.cc,832:16)
 6.358000  0.492231  G4ProcessManager::GetAttribute(int) const (cmsExp: G4ProcessManager.cc,237:1)
 6.126000  0.474269  G4VEmProcess::PostStepDoIt(G4Track const&, G4Step const&) (cmsExp: G4VEmProcess.cc,645:1)
 5.863000  0.453908  G4UrbanMscModel::ComputeTheta0(double, double) (cmsExp: G4UrbanMscModel.cc,1058:1)
 5.772000  0.446863  CLHEP::RandGaussQ::transformQuick(double) (cmsExp: RandGaussQ.cc,95:3)
 5.731000  0.443689  G4LivermorePhotoElectricModel::ComputeCrossSectionPerAtom(G4ParticleDefinition const*, double, double, double, double, double) (cmsExp: G4LivermorePhotoElectricModel.cc,213:1)
 5.642000  0.436799  G4ElasticHadrNucleusHE::HadrNucDifferCrSec(int, double) (cmsExp: G4ElasticHadrNucleusHE.cc,817:1)
 5.586000  0.432463  G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord(G4FieldTrack const&, double, double, double, G4FieldTrack&, double&, double&) (cmsExp: G4ChordFinderDelegate.icc,89:10)
 5.567000  0.430992  G4ProductionCutsTable::ScanAndSetCouple(G4LogicalVolume*, G4MaterialCutsCouple*, G4Region*) [clone .part.45] (cmsExp: G4ProductionCutsTable.cc,380:6)
 5.508000  0.426424  G4MultiLevelLocator::EstimateIntersectionPoint(G4FieldTrack const&, G4FieldTrack const&, CLHEP::Hep3Vector const&, G4FieldTrack&, bool&, double&, CLHEP::Hep3Vector&) (cmsExp: G4MultiLevelLocator.cc,123:1)
 5.412000  0.418992  G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord() const (cmsExp: G4TDormandPrince45.hh,354:1)
 5.335000  0.413031  CLHEP::Hep3Vector::rotateUz(CLHEP::Hep3Vector const&) (cmsExp: ThreeVector.cc,36:28)
 5.061000  0.391818  G4PhysicsVector::LogVectorValue(double, double) const (cmsExp: G4PhysicsVector.icc,223:1)
 5.053000  0.391199  G4ParticleChangeForLoss::UpdateStepForAlongStep(G4Step*) (cmsExp: G4ParticleChangeForLoss.cc,173:1)
 4.941000  0.382528  G4TrackingManager::ProcessOneTrack(G4Track*) (cmsExp: G4TrackingManager.cc,62:1)
 4.940000  0.382450  G4VMultipleScattering::AlongStepGetPhysicalInteractionLength(G4Track const&, double, double, double&, G4GPILSelection*) (cmsExp: G4VMultipleScattering.cc,330:1)
 4.902000  0.379508  field_utils::absoluteError(double const*, double const*, double) (cmsExp: G4FieldUtils.cc,41:1)
 4.899000  0.379276  G4Physics2DVector::Value(double, double, unsigned long&, unsigned long&) const (cmsExp: G4Physics2DVector.cc,148:1)
 4.885000  0.378192  G4Log(double) (cmsExp: G4Log.hh,190:14)
 4.496000  0.348076  G4VEnergyLossProcess::PostStepDoIt(G4Track const&, G4Step const&) (cmsExp: G4VEnergyLossProcess.cc,1551:1)
 4.496000  0.348076  G4SeltzerBergerModel::SampleEnergyTransfer(double, double, double, double) (cmsExp: G4SeltzerBergerModel.cc,336:1)
 4.488000  0.347457  CLHEP::HepRandom::getTheEngine() (cmsExp: Random.cc,269:1)
 4.382000  0.339250  G4VParticleChange::CheckIt(G4Track const&) (cmsExp: G4VParticleChange.cc,304:1)
 4.302000  0.333057  G4FieldTrack::G4FieldTrack(CLHEP::Hep3Vector const&, double, CLHEP::Hep3Vector const&, double, double, double, CLHEP::Hep3Vector const&, double, double, double) (cmsExp: G4FieldTrack.cc,81:1)
 4.250000  0.329031  G4KleinNishinaCompton::SampleSecondaries(std::vector<G4DynamicParticle*, std::allocator<G4DynamicParticle*> >*, G4MaterialCutsCouple const*, G4DynamicParticle const*, double, double) (cmsExp: G4KleinNishinaCompton.cc,153:1)
 4.227000  0.327251  G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited(G4FieldTrack&, double, double, double) (cmsExp: G4IntegrationDriver.icc,75:10)
