Performance data spans 21:52.411465 mm:ss  from 2021/03/31 21:43:20 to 2021/03/31 22:05:12

Exclusive  % of CPU  Function (defining location)
 CPU time      Time  
       in            
 seconds.            
 8.668000  0.660559  G4NeutronInelasticXS::GetElementCrossSection(G4DynamicParticle const*, int, G4Material const*) (cmsExp: G4NeutronInelasticXS.cc,111:1)
 8.398000  0.639983  G4PolyPhiFace::Distance(CLHEP::Hep3Vector const&, bool) (cmsExp: G4PolyPhiFace.cc,426:3)
 8.134000  0.619865  G4Navigator::LocateGlobalPointWithinVolume(CLHEP::Hep3Vector const&) (cmsExp: G4Navigator.cc,615:1)
 8.066000  0.614683  G4GEMProbability::CalcProbability(G4Fragment const&, double, double) (cmsExp: G4GEMProbability.cc,115:1)
 7.802000  0.594564  G4NeutronElasticXS::GetElementCrossSection(G4DynamicParticle const*, int, G4Material const*) (cmsExp: G4NeutronElasticXS.cc,117:1)
 7.562000  0.576274  G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength(G4Track const&, double, double, double&, G4GPILSelection*) (cmsExp: G4VEnergyLossProcess.cc,1020:16)
 6.904000  0.526130  CLHEP::RanecuEngine::flatArray(int, double*) (cmsExp: RanecuEngine.cc,223:1)
 6.804000  0.518510  G4NavigationLevel::G4NavigationLevel(G4VPhysicalVolume*, G4AffineTransform const&, G4AffineTransform const&, EVolume, int) (cmsExp: G4NavigationLevel.cc,47:1)
 6.725000  0.512490  G4SteppingManager::SetInitialStep(G4Track*) (cmsExp: G4SteppingManager.cc,281:1)
 6.396000  0.487418  G4HadronicProcess::GetMeanFreePath(G4Track const&, double, G4ForceCondition*) (cmsExp: G4HadronicProcess.cc,190:1)
 6.330000  0.482388  G4UrbanMscModel::ComputeGeomPathLength(double) [clone .constprop.60] (cmsExp: G4UrbanMscModel.cc,718:8)
 6.235000  0.475148  G4SteppingManager::InvokePostStepDoItProcs() (cmsExp: G4SteppingManager2.cc,544:28)
 6.212000  0.473396  G4PolyhedraSide::Intersect(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const&, bool, double, double&, double&, CLHEP::Hep3Vector&, bool&) (cmsExp: G4PolyhedraSide.cc,457:1)
 6.184000  0.471262  G4VPhysicalVolume::GetTranslation() const (cmsExp: G4VPhysicalVolume.cc,143:1)
 6.183000  0.471186  cmsExpMagneticField::GetFieldValue(double const*, double*) const (cmsExp: cmsExpMagneticField.cc,31:1)
 6.067000  0.462346  G4ProcessManager::GetAttribute(int) const (cmsExp: G4ProcessManager.cc,237:1)
 5.871000  0.447409  G4PolyhedraSide::GetPhi(CLHEP::Hep3Vector const&) (cmsExp: G4PolyhedraSide.cc,979:48)
 5.510000  0.419898  G4StepPoint::operator=(G4StepPoint const&) (cmsExp: G4StepPoint.cc,62:1)
 5.489000  0.418298  CLHEP::HepLorentzVector::boost(double, double, double) (cmsExp: LorentzVector.cc,56:17)
 5.414000  0.412583  G4ProductionCutsTable::ScanAndSetCouple(G4LogicalVolume*, G4MaterialCutsCouple*, G4Region*) [clone .part.45] (cmsExp: G4ProductionCutsTable.cc,380:6)
 5.305000  0.404276  G4KleinNishinaCompton::SampleSecondaries(std::vector<G4DynamicParticle*, std::allocator<G4DynamicParticle*> >*, G4MaterialCutsCouple const*, G4DynamicParticle const*, double, double) (cmsExp: G4KleinNishinaCompton.cc,153:1)
 5.292000  0.403285  G4ElasticHadrNucleusHE::HadrNucDifferCrSec(int, double) (cmsExp: G4ElasticHadrNucleusHE.cc,817:1)
 5.281000  0.402447  G4VEmProcess::PostStepDoIt(G4Track const&, G4Step const&) (cmsExp: G4VEmProcess.cc,645:1)
 5.246000  0.399780  G4UrbanMscModel::SampleScattering(CLHEP::Hep3Vector const&, double) (cmsExp: G4UrbanMscModel.cc,823:1)
 5.012000  0.381948  G4NavigationHistory::G4NavigationHistory(G4NavigationHistory const&) (cmsExp: G4NavigationHistory.cc,48:1)
 4.882000  0.372041  G4PolyconeSide::Inside(CLHEP::Hep3Vector const&, double, double*) (cmsExp: G4PolyconeSide.cc,432:1)
