  162.5100     1.9128 higgs.FTFP_BERT.1400.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0110     0.0002 e-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.5444     0.0073 e-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0170     0.0002 pi-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.6179     0.0063 pi-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0380     0.0005 anti_proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.6488     0.0086 anti_proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0115     0.0001 proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.6297     0.0076 proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
