  155.1400     1.3630 higgs.FTFP_BERT.1400.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0107     0.0001 e-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.5240     0.0049 e-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0164     0.0002 pi-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.5910     0.0060 pi-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0367     0.0004 anti_proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.6204     0.0056 anti_proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0111     0.0001 proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.6033     0.0062 proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
