  150.7200     1.7929 higgs.FTFP_BERT.1400.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0104     0.0001 e-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.5081     0.0064 e-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0159     0.0002 pi-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.5773     0.0074 pi-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0359     0.0005 anti_proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.6016     0.0069 anti_proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0108     0.0002 proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    0.5847     0.0078 proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
