  225.6100     2.0494 higgs.FTFP_BERT.1400.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0606     0.0008 e-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.1983     0.0135 e-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0685     0.0011 pi-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.3704     0.0174 pi-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.1382     0.0017 anti_proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.4953     0.0190 anti_proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0489     0.0007 proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.4401     0.0185 proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
