  237.8800     2.5568 higgs.FTFP_BERT.1400.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0624     0.0009 e-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.2635     0.0148 e-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0707     0.0010 pi-.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.4408     0.0192 pi-.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.1438     0.0016 anti_proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.5538     0.0179 anti_proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
    0.0504     0.0006 proton.FTFP_BERT.1.4 IntelXeonCPUE52650v2@2.60GHzS
    1.5025     0.0193 proton.FTFP_BERT.50.4 IntelXeonCPUE52650v2@2.60GHzS
