  299.7700     2.6307 higgs.FTFP_BERT.1400.4 AMDOpteronProcessor6128HE
    0.0197     0.0002 e-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    0.9955     0.0065 e-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0274     0.0002 pi-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.1389     0.0083 pi-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0657     0.0004 anti_proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.2012     0.0080 anti_proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0203     0.0001 proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.1640     0.0081 proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
