  277.9900     2.7122 higgs.FTFP_BERT.1400.4 AMDOpteronProcessor6128HE
    0.0188     0.0001 e-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    0.9361     0.0056 e-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0285     0.0002 pi-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.0591     0.0058 pi-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0663     0.0004 anti_proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.1121     0.0070 anti_proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0190     0.0001 proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.0792     0.0064 proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
