  494.5900     3.7171 higgs.FTFP_BERT.1400.4 AMDOpteronProcessor6128HE
    0.1647     0.0014 e-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.8862     0.0198 e-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.1570     0.0012 pi-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    3.0337     0.0247 pi-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.3476     0.0031 anti_proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    3.4260     0.0294 anti_proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.1167     0.0010 proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    3.2274     0.0293 proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
