  439.7000     3.9243 higgs.FTFP_BERT.1400.4 AMDOpteronProcessor6128HE
    0.1230     0.0015 e-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.2523     0.0186 e-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.1482     0.0013 pi-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.7233     0.0262 pi-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.3018     0.0029 anti_proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    3.0215     0.0294 anti_proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.1040     0.0009 proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.8724     0.0268 proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
