  442.0400     3.5021 higgs.FTFP_BERT.1400.4 AMDOpteronProcessor6128HE
    0.1218     0.0014 e-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.2939     0.0167 e-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.1424     0.0016 pi-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.7111     0.0237 pi-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.2933     0.0027 anti_proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.9702     0.0287 anti_proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.1019     0.0008 proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    2.8625     0.0294 proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
