  318.0300     3.2346 higgs.FTFP_BERT.1400.4 AMDOpteronProcessor6128HE
    0.0209     0.0001 e-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.0499     0.0071 e-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0312     0.0002 pi-.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.2220     0.0074 pi-.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0712     0.0003 anti_proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.2890     0.0082 anti_proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
    0.0236     0.0001 proton.FTFP_BERT.1.4 AMDOpteronProcessor6128HE
    1.2535     0.0062 proton.FTFP_BERT.50.4 AMDOpteronProcessor6128HE
